OBJECTID,Guid,GlobalID,Comments,CreationDate,EditDate,EXTRACTIVE SURVEY ,"If RECALL, date",What type of fishing did you do at this site?,"If OTHER, fishing type",Did you use a bait or lure?,What time did you (if spearfishing)/ your lines get in the water? ,What time did you (if spearfishing)/your lines get out the water??,Max depth of hook at this site?,# fish you kept undamaged at this site?,"If OTHER, # kept undamaged",# released undamaged at this site?,"If OTHER, # released undamaged",# depredated,"If OTHER, # depredated",What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,"If RECALL, date",What activity did you do?,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth ",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?,"If OTHER, why did you leave this site?",x,y
208,5d824cd3-7eb4-4611-88b0-4c80fdc49bd1,fa27d939-05d0-4117-8f4f-bc8bb3039afd,,9/26/2020 9:41:47 AM,9/26/2020 9:44:48 AM,,,,,,,,,,,,,,,,,,,,Other,Whale watching,3pm,5.3,,Megafauna,,EndOfDay,,114.1419196,-21.9540232
209,f66c275f-92cd-45ce-9926-a88f657d23ba,6181df05-8466-4b79-bf0a-0ae5b60b7b41,,9/26/2020 9:55:49 AM,9/26/2020 9:55:49 AM,,,,,,,,,,,,,,,,,,,,Snorkling,,10am,6pm,,Weather,,EndOfDay,,114.144446,-21.94961814
210,bb93adb0-631d-40bd-8948-43a4cddc43b9,86f4e6a2-506e-4c21-9e49-226e4a640af8,,9/26/2020 10:08:20 AM,9/26/2020 10:13:01 AM,Coopers shoal,,Demersal ,,Lure,2pm,6pm,10,1,,0,,0,,School mackrel,End of day,,,,,,,,,,,,,114.1470512,-21.95313834
211,96fab172-b60c-4c87-a9ab-ef20ac397769,3d7d5c78-4696-4cf3-9c97-3c2a60239a00,,9/26/2020 2:59:49 AM,9/26/2020 2:59:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1882059,-21.75871043
212,,f8466652-8e70-4052-96a3-6e8f8da7e2c6,,9/26/2020 5:46:38 AM,9/26/2020 5:46:38 AM,,,,,,,,,,,,,,,,,,,9/26/2020 5:41:17 AM,,,,,,,,,,114.1398425,-21.90386083
213,70b06f1f-f619-408e-9cf3-7514090223ab,43a2a21e-e69b-453c-9607-463aba945878,,9/26/2020 8:44:48 AM,9/26/2020 9:01:47 AM,They were squidding near the airport (the small local airport not learmonth he said).,9/26/2020 8:42:22 AM,Squidding,Caught one cod w the lure but weŠ—Ère just squidding,Lure,2pm,4pm,Surface only,2,2 squid,1,Released one squid,0,,Squid,Weather,,,,,,,,,,,,,114.1307985,-21.99699583
214,9668d10d-4a9e-49c1-8bef-9ceebb46c5ed,98fae613-767d-4bfa-9e47-44d8b97a4b6b,,9/26/2020 9:45:33 AM,9/26/2020 9:45:33 AM,6166 Perth residents born 1982 ,9/26/2020 9:44:05 AM,Demersal ,Did some trawling on the way to sight; then bottom bashing,Bait,4pm,5pm,3m,0,DidnŠ—Èt catch anything,0,,,,Nil,Other,Kids were hungry and impatient and we didnŠ—Èt have snacks for them.,,,,,,,,,,,,114.1451217,-21.94313094
215,e2e77462-586a-4994-a219-9b6622a567c8,2313a4cb-7cbe-4404-b39a-29a6e553c093,,9/26/2020 10:20:46 AM,9/26/2020 10:22:16 AM,,,Demersal ,,Bait,2pm,6pm,,5,,2,,0,,"4 dog mackerel, 2 snapper; threw one shit fish back",End of day,Did both bottom trawling and bottom bashing; interviewed about bottom bashing,,,,,,,,,,,,114.2390974,-21.88140294
216,6a245239-e95f-4207-a5dc-102dce43a225,75cdb20e-fddb-4ade-bd97-c4fab9af2244,,9/27/2020 1:49:18 AM,9/27/2020 2:00:30 AM,,,,,,,,,,,,,,,,,,,,Other,,,,,Quiet,,,,114.1379928,-21.95813863
217,25e293be-2cd2-4b13-acd8-0d0bec83d3c7,f0b8b77d-7e9a-498d-bc9f-99ae2fbc2d3c,,9/27/2020 2:16:42 AM,9/27/2020 2:30:21 AM,"70%depredated - gone up, less fish ",,Spearing,"Always come back with a feed, fishing from boat on average 25 times a year ",,,,,,,,,,Had t been fishing but said that when fishing from a boat he said son average 70% depredated,,,,,,,Sand boarding ,9,10:30,,Other,Good slope,,,114.1371947,-21.96049641
218,58c68d7b-15d0-4aa3-aaa2-5211893e1de1,b708d812-76be-47bf-9c59-eafc6c085afb,,9/27/2020 3:35:14 AM,9/27/2020 3:41:16 AM,,,,,,,,,,,,,,,,,,,,Snorkling,Kids play on beach,10am,4pm,,Access,4wd access,EndOfDay,Kids tired,114.1205861,-22.01743841
219,1d489223-12ac-400b-a539-3e32615d476f,7c497cea-cb6d-4729-ad20-aa99fcaaa883,,9/27/2020 4:19:51 AM,9/27/2020 5:10:00 AM,,,Casting,,Lure,11.45,Still doing activity,5,,,2,,,,"Flatty, catfish?",,,,,,,,,,Biodiveristy,,,,114.099775,-22.21085979
220,338a5c74-2480-446b-95e0-ff109706626b,6894be4a-ccb9-4ec9-ba9c-d7d94ac6eeba,,9/27/2020 7:20:16 AM,9/27/2020 7:45:51 AM,,,,,Lure,2,4,,0,,0,,0,,,Weather,Wind,,,,,,,,,,,,113.7829134,-23.11115388
221,31293709-fdf2-4e73-94df-1b1cb56c5740,34b9dbb9-e353-4173-aad9-fd3832a089a8,,9/27/2020 7:55:09 AM,9/27/2020 7:55:09 AM,,,,,,,,,,,,,,,,,,,,,,12,16,,Biodiveristy,,Weather,,113.7683965,-23.14260292
222,551796df-5a02-4267-b150-046404ecae5d,5daedcc5-28d1-4f6d-a7e1-c15a55fdaafb,,9/27/2020 8:03:36 AM,9/27/2020 8:13:06 AM,,,,,,,,,,,,,,,,,,,,Snorkling,,1pm,4pm,,Access,,Weather,,113.7686521,-23.14255945
223,6eb0139c-7b7b-4916-a2fb-d34c70a39307,a80da1cf-60e3-4298-ae28-a40626a38fa7,,9/27/2020 8:36:07 AM,9/27/2020 8:36:07 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,11am,Still relaxing,,Access,,EndOfDay,,113.7687294,-23.1423594
224,f6e75f85-5c8e-4e6f-b4d4-7c8f8536d1c7,e5013e0f-05ea-4720-8e00-053290728707,,9/27/2020 4:14:09 AM,9/27/2020 4:16:25 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,11:23,12:23 still there having bbq,,NaturalSurroundings,"Came to this spot last year and Lindsey it, tradition?",,,114.0995704,-22.21197248
225,79a8160e-e352-443c-b2b7-58e82dc96d2f,791cd12a-cc6d-4d96-b1fe-fe4a9df960e3,,9/27/2020 4:20:58 AM,9/27/2020 4:26:52 AM,"From Karratha, said notice a big increase in shark depredation, said on average 85% are taken. Interviewed them before the stared fishing. ",,Casting,Going for squid,Lure,12:20,13:20,,,,,,,,,,,,,,,,,,,,,,114.0993522,-22.21183809
226,6ff2e8a5-da42-44fc-9999-e10415ab9c0a,0081b0b5-d4a3-426f-88df-0efca3348787,,9/27/2020 7:54:23 AM,9/27/2020 7:55:35 AM,DonŠ—Èt fish,,,,,,,,,,,,,,,,,,,Snorkling,Relaxing,11,Still there 4,,Access,,,,113.7689402,-23.14133642
227,fc6f225a-0c27-4cce-bd35-4e5911ac58df,aa3e9ec8-1e7a-43c7-9a00-79911b42841a,,9/27/2020 8:02:21 AM,9/27/2020 8:02:21 AM,,,,,,,,,,,,,,,,,,,,Snorkling,Relaxing,930,,,Access,,,,113.7696493,-23.14227888
228,623f8027-d77d-499c-b550-97535f8da840,78e158b8-33eb-4973-a3e5-5574f041e894,,9/27/2020 8:07:02 AM,9/27/2020 8:07:02 AM,,,,,,,,,,,,,,,,,,,,Snorkling,Relaxing,930,5pm,,Access,,,,113.7693292,-23.14218869
229,aa99b287-18e4-4c71-b4d7-2da39f14c5bb,cb1b12d9-d883-4d5f-8785-430138afa7d4,,9/27/2020 8:29:09 AM,9/27/2020 8:29:09 AM,,,,,,,,,,,,,,,,,,,,Snorkling,Relaxing ,10:45,12:30 lunch ,,Access,Best for the kids ,,,113.7702179,-23.14226329
230,be194b9a-de51-4f31-a9f2-50b01f551602,7432f506-1f27-45de-bf33-2cb7af216e34,,9/27/2020 8:51:34 AM,9/27/2020 8:51:34 AM,,,,,,,,,,,,,,,,,,,,Snorkling,"Kayaking, relaxing",08:30,11 for lunch ,,Access,,EndOfDay,,113.7708421,-23.14197579
231,a592c91d-b14b-4bbd-8859-470a1b90f33e,fcae6dd6-c26e-49f7-addc-f59575603bfc,,9/28/2020 3:16:53 AM,9/28/2020 3:16:53 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,11,,,Quiet,,Other,Still here,113.7762221,-23.11392034
232,e4533b35-a931-43af-b241-b5b4a11ea658,6d6b6684-1a5c-44f5-aaeb-2119e81fe062,,9/28/2020 3:25:08 AM,9/28/2020 3:30:12 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,1030,Still going,,NaturalSurroundings,,,,113.7764956,-23.11388531
233,d4e603a8-4bd0-406d-9123-e2e6775e82b7,f4bd29bb-791a-4205-ba2e-018f71192d4c,,9/28/2020 4:20:41 AM,9/28/2020 4:20:41 AM,,,,,,,,,,,,,,,,,,,9/28/2020 4:19:49 AM,Snorkling,,12,1219,,Biodiveristy,,Other,Cold,113.768065,-23.14183359
234,2b4c33f2-f48d-4284-87e2-364d4ffe8e14,2e21ad7b-a4be-4e21-81f1-b38ce6264b10,,9/28/2020 4:29:34 AM,9/28/2020 4:33:04 AM,,,,,,,,,,,,,,,,,,,,Snorkling,Daughter was building sand castles,11am,1230pm,,Other,Fish-the snapper,,,113.7687415,-23.14132087
235,1ecd8c45-2971-4d47-b4b6-03a82cb8aa80,6782b239-cbdb-4fe9-be4b-979a5af25cdd,,9/28/2020 4:39:03 AM,9/28/2020 4:39:03 AM,,,,,,,,,,,,,,,,,,,,Relaxing,"Chilling hat the beach, spending time with family and playing footy",10,Still going,,NaturalSurroundings,,EndOfDay,We will leave at the end of this day,113.7698265,-23.14231681
236,0d2a767f-1062-43a6-a216-18f97b745fbf,a68c79ee-8568-492e-b9b7-cac246cd3173,,9/28/2020 4:58:57 AM,9/28/2020 4:58:57 AM,,,,,,,,,,,,,,,,,,,,RowSport,And swimming and relaxing,9am,Prob 430pm end of day we will leave,,Other,Good holiday,EndOfDay,,113.7741739,-23.14159584
237,f8005fa1-5b59-4b01-abe5-99498c600a60,e6ec2527-7032-47bb-8f1b-6ff54a3a3f06,,9/28/2020 2:51:29 AM,9/28/2020 3:30:41 AM,,,,,,,,,,,,,,,,,,,,Snorkling,,10:40,Still here 10.50,,Other,Recommended walkway and snorkeling ,,,113.7668429,-23.15732213
238,512a5873-b784-40e5-b013-c4bf2bbb3d03,27620a7d-4b96-4893-8272-fa44e7553809,,9/28/2020 3:03:24 AM,9/28/2020 3:03:24 AM,Five finger reef,,Casting,,Lure,09:30,10:30,,,,1,,,,,Weather,,,,Relaxing,,,,,,,,,113.7662508,-23.16194677
239,512a5873-b784-40e5-b013-c4bf2bbb3d03,86af293b-9297-42fe-a8cc-78139f2451a8,,9/28/2020 3:05:28 AM,9/28/2020 3:30:03 AM,,,,,,,,,,,,,,,,,,,,,,10:50,,,Other,Can fish off the br,Other,Still here 11:05,113.7669581,-23.15717284
240,cb237740-59ad-4f94-bb6f-5a688a584241,4bbc5c64-9b25-4f5d-ad09-489b7e99d9d6,,9/28/2020 3:23:13 AM,9/28/2020 3:31:36 AM,,,,,,,,,,,,,,,,,,,,Snorkling,,10:00,Still there 11.22,,Quiet,,,,113.7660358,-23.15784944
241,971ac16c-73c4-4f33-86d2-dd9a2daa54ee,9bdb4c47-0264-43e1-8130-55bff84b91f3,,9/28/2020 3:44:11 AM,9/28/2020 3:44:11 AM,,,,,,,,,,,,,,,,,,"Parcel,e to five finger reef ",,Kite surfing ,,10:40,11:40,,Other,"DonŠ—Èt want to break the coral because of the big fin at bottom and itŠ—Ès the closest place, lists of restriction. 1km walk south from coral bay ",Weather,Too windy for size of kite,113.7612743,-23.1617284
242,b479ee94-dee8-47c8-b776-06d0a71413a0,92501a72-f96c-41e2-a0af-f51bdc806377,,9/28/2020 4:03:01 AM,9/28/2020 4:03:01 AM,,,Trolling,,Lure,10,11,30,,,1,,0,2yesterday 1 kept one bitten ,Mackeral,Weather,,,,,,,,,,,,,113.7529563,-23.16944425
243,04dd7274-991f-49e2-b7fd-4180d4562e4e,cb71a2b2-a310-4290-8920-7a5449182f37,,9/28/2020 4:12:38 AM,9/28/2020 4:12:38 AM,22k north ,,Spearing,,,630,11,,1,,,,,,Mackeral,Weather,,,,,,,,,,,,,113.7690623,-22.95503496
244,e7d5a887-9c81-4361-af9e-b4ff1a0dd7ea,0a8f0e94-8331-4ff6-aede-a2bfc3c3ed4c,,9/28/2020 4:34:30 AM,9/28/2020 4:34:30 AM,Both bait and lure,,Casting,,,1215,1230,1,0,,0,,0,,,,,,,Snorkling,Relaxing,1130,,,Other,Out of sanctuary so they can fish and never been so wanted to try it out,,,113.7668184,-23.15746703
245,ae7337a1-2382-4af4-a534-ce96fbe509ca,3a87b94c-55ff-40ff-8a5d-6bb028888186,,9/28/2020 8:51:39 AM,9/28/2020 8:54:46 AM,,,Casting,,Lure,16,17.3,,,,1,,0,,DoesnŠ—Èt know but undersize,End of day,,,,,,,,,Biodiveristy,Good for fish plus jetty,,,114.1000228,-22.21195729
246,14fce223-3414-4c27-ad6b-3f50f206d8f3,999ef879-0b74-4e1d-9df2-076b6daf3b87,,9/30/2020 3:01:32 AM,9/30/2020 3:01:32 AM,,,,,,,,,,,,,,,,,,,9/30/2020 3:00:01 AM,Relaxing,With dog,10,HavenŠ—Èt yet likely 12,,Other,Can bring my dog and close by,,,113.9810406,-21.91091148
247,d6bb0587-3b99-45d4-b4db-ce8e3e5d9ed0,e1a75beb-bec3-4859-9573-9bdab253cdce,,9/30/2020 3:12:48 AM,9/30/2020 3:12:48 AM,Boat name BO 343,9/30/2020 3:10:30 AM,Demersal ,,Bait,2,4,30,3,,0,,1,,Snapper,,Hungry,,,,,,,,,,,,113.9024884,-21.73243536
248,b50cea6f-1e1f-4aa5-b830-2b80fd41645e,ce66d0d5-4f54-4387-b73b-e3d686cf010e,,9/30/2020 3:36:26 AM,9/30/2020 3:36:26 AM,The lady being interviewed is non extractive now but her family is extractive and she is telling me where they are going,9/30/2020 3:34:43 AM,Demersal ,,Bait,1115,1230,Unsure but it will be to the bottom ,,,,,,,,,They will come back wh3n they run out of drinks or food,,9/30/2020 3:34:37 AM,Relaxing,,930,End of day,,Access,Boat ramp for dinghy and beach,EndOfDay,,113.9767258,-21.9153047
249,6df7eb6b-9a79-40d5-8ba7-453ccc204bf8,3603cbf6-e54d-41e0-965e-84da0c5345e3,,9/30/2020 4:14:23 AM,9/30/2020 4:14:23 AM,,,Squidding,,Lure,11,12,Surface,,4 squid,,,,,,Other,Time for some shade,,,,,,,,,,,,113.9420672,-21.90029955
250,0855bdb4-27dc-44c7-81b8-91931c17a498,8d53fa5e-2aac-4aab-8907-812accd6b81d,,9/30/2020 4:24:30 AM,9/30/2020 4:24:30 AM,,,Demersal ,,Bait,,930,26,0,,0,,0,,Blowfish ,,Lunch,,,,,,,,,,,,113.9993717,-21.81474727
251,44d4d6c8-6e87-438a-a084-e3ef52febbca,4cb2733c-8666-405b-8c8d-ac99b7bfc190,,9/30/2020 7:23:48 AM,9/30/2020 7:34:52 AM,SheŠ—Ès a school teacher at church lands-hence holiday in school holidays ,,Spearing,Free diving; spearing,,10,1030 but went to another site-also freediving spearing,,,,,,,,Zero fish caught,,Lunch time,,,Surfing,,2pm,HasnŠ—Èt ended,,Other,Good surfing,,,113.9773401,-21.87176066
252,b377be0a-da40-47fc-a2ae-8c5889667349,503fdd59-8234-41e3-88c7-c4bf28f97901,,9/30/2020 8:25:34 AM,9/30/2020 8:25:34 AM,,,,,,,,,,,,,,,,,,7 kids 6 adults,,Relaxing,,2pm,Now is 430,,Other,Combo of nice beach and easy access,Other,Shower all the kids before bed,114.07308,-21.82702892
253,48584fe1-127c-46e8-9e70-9b3a5e6d49bd,9aef01d1-c558-415c-bc3c-1b0e4cce9e6d,,9/30/2020 8:54:38 AM,9/30/2020 8:54:38 AM,,,,,,,,,,,,,,,,,,,,Surfing,,130pm,,,Other,,EndOfDay,,114.0678608,-21.8298274
254,0ca8a85e-af3c-4538-b2fb-8b1fb9d0cb90,3af94773-3417-47fd-91c1-36b4aec9dac8,,9/30/2020 9:01:43 AM,9/30/2020 9:01:43 AM,,,,,,,,,,,,,,,,,,,,Surfing,Little ones relaxing older kids surfing,130,,,Other,Surf,EndOfDay,,114.0677016,-21.82951872
255,a5bba7ac-1015-43c0-9244-5895d0301a3e,383ab515-1075-403a-b56b-2e6ffdce35c0,,10/01/20 01:14,10/01/20 01:14,,,Casting,,Bait,7,9,12,2,,1,,1,,Spangled emperor,ActivityChange,,,,,,,,,Biodiveristy,,,,113.9737741,-21.87281542
256,b613bff6-215f-4d98-8da3-00bb83d3833b,9cefb3b3-b024-4e5d-8601-165810bd945e,,10/01/20 01:30,10/01/20 01:30,,,Spearing,,,7,9,14,0,,0,,,,,ActivityChange,,,,,,,,,,,,,113.9756526,-21.84255397
257,628edc2d-2c59-495a-b444-b64b0bd6d090,8b9a1fe9-f6d6-43df-bbbf-954ce639a7c3,,10/01/20 01:57,10/01/20 01:57,,,Demersal ,,Bait,6.3,9.4,17,1,,0,,1,,,ActivityChange,,,,,,,,,,,,,114.0036246,-21.81535214
258,be6774fb-56d8-4ad1-842d-1d9595b4d33d,2ab7afc5-908a-4063-b3fc-1f92c7e77bad,,10/01/20 02:18,10/01/20 02:18,,,,,,,,,,,,,,,,,,,,Surfing,,6,10,,Other,Good surf,Weather,Wind came in,113.8505076,-21.83657705
259,6ce4af01-fc51-42d6-aa41-887ad88ff809,ba5a3e10-e516-476a-aa9b-7eb71c4927c2,,10/01/20 04:21,10/01/20 04:21,,,Demersal ,,Bait,7,12.1,14,3,,,,2,Hates sharks?,"Coral trout, cod",Weather,Windyyy,,,,,,,,,,,,113.9247706,-21.90195607
260,38bb9946-46d5-4884-8cd3-41792113578e,90f7063d-d51d-4bac-8b56-4603625f3d4f,,10/01/20 07:12,10/01/20 07:21,,,,,,,,,,,,,,,,,,Snorkel,,Snorkling,,10am,230pm,,Biodiveristy,Cool snorkeling ,,,114.3713519,-21.66220225
261,0013d533-1167-4438-83e7-008fddab2339,ff56874c-59d6-494f-b2c6-31ca72b77214,,10/01/20 07:26,10/01/20 07:26,,,Demersal ,Bottom bashing and trolling,Bait,11,1500,40m,5,,,,3,,"Spangos, 1 cod, 1 red emperor, 1 snapper, 1 rosie",Other,To go kiting or surfing over the other side,,,,,,,,,,,,114.188889,-21.54447857
262,59ca4696-15d7-4641-b614-d87c84518c3d,9ed1da6b-1af0-424c-9feb-7639adea2e03,,10/01/20 07:32,10/01/20 07:32,,,Demersal ,,Bait,1pm,3pm,,4,,,,1,,Emperors ,ActivityChange,,,,,,,,,,,,,114.2287417,-21.86676805
263,39985122-7bf9-49e4-9738-7a677821a9d1,29fb5014-e643-4864-98c0-7388f1a3ad50,,10/01/20 07:49,10/01/20 07:53,,,Trolling,,Lure,8am,3pm,,0,,0,,0,,Zero fish caught ,End of day,,,,,,,,,,,EndOfDay,,114.1769868,-21.83225045
264,39fde58c-3161-4844-a614-4866f04c2a6a,d085a489-c158-4389-878b-84571af3b573,,10/01/20 08:00,10/01/20 08:00,,,Spearing,Free dive,,930,1130,,2,,0,,0,,Emperor ,Other,Try a new site,,,,,,,,,,,,114.2815613,-21.87918764
265,39fde58c-3161-4844-a614-4866f04c2a6a,ab3139e4-a3eb-4917-97bc-189a424eb6b8,,10/01/20 08:02,10/01/20 08:02,,,Spearing,,,1230,1,,0,,0,,0,,,Other,Saw a shark,,,,,,,,,,,,114.2698706,-21.87761533
266,0d838906-3a3d-4487-a4bf-924225c719ae,74b44706-09c6-4e4f-a2a2-5d2e0c0b236d,,10/01/20 08:08,10/01/20 08:08,,,,,,,,,,,,,,,,,,,,JetSki,,10,1600,,Weather,,EndOfDay,,114.1711025,-21.83532357
267,03685dcb-d73f-491c-958a-25cd92be36e3,a68f7262-a04c-4645-976c-81c869a10329,,10/01/20 08:13,10/01/20 08:13,,,Demersal ,,Bait,1,330,,3,,0,,0,,Spangos x2 and a threadfin,End of day,,,,,,,,,,,,,114.2607541,-21.8859392
268,c73eb852-2721-4b9f-872a-1e8c577c5e84,f0f3b691-4f9f-4340-8d0b-e742fd10eed3,,10/01/20 08:25,10/01/20 08:25,,,Demersal ,,Bait,10,330,,,,,,,,Red snapper,End of day,,,,,,,,,,,,,114.1656352,-21.7543712
269,3e1b977a-b042-447a-a7d6-74a67d1fac67,60f423f1-2933-4c7b-810e-c712afe687e9,,10/01/20 08:41,10/01/20 08:41,,,Demersal ,,Bait,9,4,,1,,0,,0,,Long nose emporer,End of day,,,,,,,,,,,,,114.2377546,-21.5536179
270,2bf3eb4e-d010-4e77-8cc7-cb47dde78d54,260aac34-c4af-4b7a-a408-381addbf0ef7,,10/01/20 08:55,10/01/20 08:55,,,Squidding,,,2,Now,,0,,0,,0,,None,End of day,,,,,,,,,,,,,114.2165994,-21.95889768
