OBJECTID,Have_you_been_interviewed_about_shark_bite_offs_before,How_many_times_have_you_fished_from_this_boat_ramp_before,How_many_days_have_you_fished_from_a_boat_this_year,How_many_years_have_you_been_fishing_for,Home_postcode,What_is_your_income_before_tax,Guid,GlobalID,CreationDate,Creator,EditDate,Editor,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
14,No,20,30,4,6701,$52 000-$77 999,daa61ca1-1e54-4d4b-a32b-a327753f2bd2,0863bcfb-82fd-4d90-a3de-99e6d91f92c6,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
15,No,400,30,50,6701,$104 000-$155 999,7bc4cc06-f137-490c-a791-54fdefe72000,69f17756-a873-4ac0-b573-c17904850074,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
16,No,Lots,50,68,6716,$1-$25 999,d06f3b69-e0bd-42cb-b2f1-51849600e12c,41b33e39-9a53-4067-9305-a053cdb64b34,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
17,No,2,12,50,6211,$78 000-$103 999,df05d4a4-48b6-40e1-b3ff-cf11ddaf55cc,f6e1beae-d8ae-4585-a150-cb3e492d5754,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
18,No,30,1,50,6701,$78 000-$103 999,f9846fa5-1521-436c-bb55-9ec37c535996,bf2caf58-ac04-4c97-aed3-b6b5ecb84012,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
19,No,20,30,50,6701,$52 000-$77 999,31fefabb-2464-493f-9f1d-6b5f954064c0,fec2421e-1ea0-47e1-b756-3068ec3a3650,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
20,No,Heaps,4,35,6701,$104 000-$155 999,425ea769-461f-4062-b953-cf99392c44b2,eb2d3d9a-6921-4983-8399-27b0ab11b16f,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
21,No,1st,2,20,6701,$104 000-$155 999,de8ef304-6b16-4e8f-9900-9b22d0b3ef0f,9c90f7c8-1fff-4ba6-8f06-dd4c0c234d91,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
22,Yes,30,8,60,6233,$52 000-$77 999,14facb84-b756-48a8-8097-dc8c8d2ba253,416245b6-62f7-4266-94b7-a2af7efe3e5e,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
23,No,3,10,50,6155,$78 000-$103 999,66f8343a-9e59-448b-8048-26e258ea116d,8ff72b9f-effd-47dc-952e-2778d9ec2052,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
24,No,6,80,40,6230,$104 000-$155 999,9e1e26fd-a4f0-4bfd-baa7-abeb48e34054,3816a8c1-9d69-4345-a1b9-b8851d543b50,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
25,Yes,50+,30,35,6701,$104 000-$155 999,c7070373-c904-4392-943b-31a5d0101f87,8c8b3ef5-0305-4897-bb03-cda9fd1af84b,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
26,No,100s,30,45,6701,$78 000-$103 999,dc3e8204-ced2-44d0-b88d-f88ed0ff2350,51030ce4-b9c9-4076-9c9d-d831a0adb908,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
27,No,25,5,30,6110,$156 000-$207 999,6bca1f99-1e69-4855-aeac-bce89d6d0229,7113575d-7195-4b5d-818e-92309d467b52,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
28,No,12,40,30,6701,$52 000-$77 999,4f69a286-3ecc-4b6f-ae5d-267a7e5d15c5,1d94ac25-5b05-425c-bdfe-68ff6c5c233a,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
29,No,100,40,40,6701,$156 000-$207 999,0f216816-4106-492f-be3e-c121c22c551d,48bef5b9-24c5-4e21-b4b1-174314f60387,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
30,No,1,3,30,6285,$78 000-$103 999,377e4fbd-2794-4413-b233-b8748eb3b2fc,24b60014-557b-4075-95be-051803839a02,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
31,No,20,2,60,6210,Nil or Negative,8dbf9a84-68dd-4a78-9bcd-92d1728ffa43,29230ab9-a4d6-4de8-81d2-0d70ac6c0b4c,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
32,No,20,1,60,6537,Nil or Negative,15859430-6805-4e6e-b164-d09f5a07cfc7,0e23db55-cd75-491a-9285-ed4419911a91,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
33,No,4,4,50,6054,$78 000-$103 999,473da129-5153-4e83-91e4-b66114418d6e,f272b775-3b7c-4256-a042-c134686c3d08,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
34,No,100+,25,50,6701,$156 000-$207 999,f7486763-f58a-46e9-af74-016546d0e54a,a68d2ddd-fb34-4bc0-b577-33fb44e3ebfc,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
35,Yes,5,10,50,6211,$52 000-$77 999,960a2da2-bbdb-459c-b57f-389acdddf1ea,dabbbb27-1363-4c47-8777-dcd9b0004660,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
36,Yes,10,81,55,6330,$52 000-$77 999,777cf715-17a8-47df-bc4c-5224633ed506,a13ee2e9-6a5b-4c05-9560-e1179e0ff50e,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
37,No,30,10,20,6701,$104 000-$155 999,18428431-0f86-4626-9a9b-89389c12251b,9959d208-0010-4111-9e58-2cf33a378335,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
38,Yes,2,4,30,6285,$78 000-$103 999,ac00080b-a503-43b1-9696-e196e1e6e618,b35553a4-5a5d-4d88-9cad-92f14779331c,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
39,No,,,,Perth,,caa94bfa-7ca7-4658-ac58-6b0d3be2ef06,babc230c-8011-4056-be90-5afafea5f553,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
40,No,50,30,60,6701,Nil or Negative,ef7acfde-ef47-43c5-a0de-3bc6c2af54d4,ade6e043-6970-433d-9419-f6e724ecf6a0,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
41,Yes,12,82,55,6330,$52 000-$77 999,e1253b94-cbdc-46d0-bff9-d9b319a1b134,ab09df39-bf7c-4f5a-81d0-8b47e1984fd2,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
42,No,7,40,40,6502,$78 000-$103 999,526cab6d-9d28-4d4c-98ee-685d604c3cb4,a4fabba2-2a13-40b1-8e5d-d070e1693430,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
43,No,50,1,55,6514,Nil or Negative,8f79a110-46f1-49d8-b90e-9a28fd2d0f9b,54af4b89-9437-4a3d-b478-1faf9baa6bc0,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
44,No,7,4,55,6210,Nil or Negative,d44a4047-323d-4a1e-b5a3-67929fa4f495,53a06799-fa1f-48be-8279-a0b459db9517,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
45,No,40,6,60,6210,Nil or Negative,491f821f-0a9a-4578-8c40-b1e78637986d,4c9a29ea-063c-400e-ab66-64059537acc5,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
46,No,50,15,35,6701,,f8119ae9-a3dd-4c36-9bbc-e463925df47e,ecf943fa-702d-4f11-b8e6-4a2b97bc1354,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
47,Yes,101,41,35,6701,Nil or Negative,df0b23b4-b22e-4764-a55a-f5086f2ced14,3ef03434-cb21-4be9-8c08-8831b7b812a1,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
48,No,5,1,40,6125,$104 000-$155 999,eb5e1920-f994-4707-805c-838a20787b29,d48ed4e6-f3fc-4c3d-b702-6ba4e70a00e7,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
49,No,50,20,50,6071 carnarvon,Nil or Negative,c648117f-bda5-4f7f-9e31-86d5f7e11582,7246b0b0-c40f-4812-8d8a-03b8c66fa737,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
50,No,50,6,50+,6164,Nil or Negative,195a72a0-7700-4a4d-9db4-500e05ae2d52,cb43ebcc-5a15-4d75-8b9d-c3d03134650f,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
51,No,12,30,30,6010,$208 000-more,40dd3e35-f6af-49bc-a2e0-e3d977f215fa,2edabcdc-b2c6-45f1-903c-175a4b5939d5,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
52,No,15,3,50,6701,,c9c215ab-5411-4a7c-acde-755710344016,28696ab6-1be9-4cd4-a72e-3d7d97aa0303,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
53,Yes,100+,13,50,6701,$26 000-$51 999,8940da77-d9a9-4f59-9f99-76ae06812438,68791a6d-2fc5-4a70-93f0-6319c41b2823,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
54,No,30,5,45,6071,,1bd267c5-a952-488b-9239-dd07d9e5c15a,692dbe11-02f1-45c6-a517-f714bb4d8cad,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
55,No,40,25,40,6071,$78 000-$103 999,3215520e-667e-4b97-9274-1bfc043502e9,6c735f79-1154-45f2-9681-7f01bf3391fa,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
56,No,10,6,27,6701,,3f1ef5ef-8b0e-4444-b919-64ba9e8a5968,85597220-980c-491a-929b-447bc9acdb65,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
57,No,50,10,65,6071,Nil or Negative,5cc28478-22e7-46a4-9ceb-ea9ae6a054b9,2bcdf774-865d-46a3-81ef-1f0347dac657,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
58,No,1,1,30,6071,Nil or Negative,30f97d6e-ae25-4eab-9c5a-db50af5f0efe,41f132f5-cc08-493e-997c-93d5db4f7f83,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
59,No,100+,20,30,6071,,88e48d22-4cf8-4552-a231-757651f9599b,b85db181-990e-4469-8c88-8332b3461a18,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
60,No,10,15,30,6071,$26 000-$51 999,779ac848-8486-4377-8c3c-d6d75a5fd15b,6eb1bbe4-da72-43f8-a01a-4ca39ff45bca,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
61,No,100+,4,25,6071,,aadb5398-cfed-48ca-b94a-0ddffc1c9933,0e20bc26-c9c6-4fac-bb79-6e80f24d9029,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
62,Yes,2,3,20 on and off,6000,$78 000-$103 999,07dc0d79-4f76-48a9-bc4c-f988f3664cb7,6376eb58-7af1-4c23-8945-53ca39244104,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
63,No,50,40,55,6701,$52 000-$77 999,8843da47-059f-4154-b976-cc9354b0efc9,b2dd52be-db2f-45d7-b609-902c4f064a69,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
64,Yes,26 years worth,12,40,6701,$52 000-$77 999,148ee5c7-6720-4c00-813d-e0df1fdaf26e,16528404-804a-417e-a5db-639faf28e2ee,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
65,No,Heaps,20,50,6701,$78 000-$103 999,17b4fed5-4e14-4748-9506-6590ed0f1f8e,3b68caf0-f6cd-4f04-b6ea-7f7a4f57ade1,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
66,No,5,3,4,6701,$104 000-$155 999,d9d4bea9-bdd4-4074-93b4-006e4fffbb5e,5d9ae96f-62fd-4be7-9504-9014a25c98fa,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
67,No,10,4,20,6701,$26 000-$51 999,67c2b9ce-8245-451b-ae2a-3082f0488da5,299dc33f-bf9a-4a2f-bf57-ebf6a389a83b,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
68,No,50,20,35,6701,$104 000-$155 999,a71ac58b-59c4-49e7-843d-534b0fa82922,c52b3384-93b5-4d93-b413-9a49db7728df,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
69,No,Heaps,5,15,6701,$78 000-$103 999,12883dc0-6398-464c-93a0-acc6fba9293d,a11da162-b000-4011-8aa1-f8a98a73eaf4,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
70,No,100+,30,50,6701,$78 000-$103 999,6570e032-1d62-4ec8-b31a-82c2145264ea,a142acdd-20e1-4f6d-8400-65d588df788c,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
71,No,100s 30 yrs worth ,20,50,6701,$78 000-$103 999,819f3303-e35f-4a21-8b05-018ade0ba7b5,cd0b76cc-c356-4768-95f0-d1ab2e65b948,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
72,No,100s,30,55,6701,$26 000-$51 999,acb44558-dd82-4b82-9d54-eceda476ceb6,159b636a-4a4e-42b9-86cd-5d376092b73b,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
73,Yes,10,15,55,Albany,$52 000-$77 999,131c9fca-d342-4a74-96c2-9260e1435c81,df68f58b-9d82-4acc-bdb5-35662b0d5f4e,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
74,No,1000s,10,30,6701,,74b53397-fcb3-4dbe-93b3-b3bab9020751,e8c718d2-b334-4a0a-8415-70fc3c75e5d2,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
75,No,16,12,45,6701,$78 000-$103 999,04c23cd0-5487-42b1-99f0-11fb0fb0bc5a,8c6f4901-a100-48a1-8f10-3a84b3e5ef84,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
76,No,Heaps,4,40,6701,$52 000-$77 999,227fcf8a-1e78-4886-9fe7-81e26b8ce021,4d46b090-8a9e-42b6-b07c-bf915448cc92,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
77,No,1,20,25,6232,$78 000-$103 999,c0609886-ebba-4b50-8c1e-5c3a29e7480e,7ada1d21-bf06-42e7-99c8-7ee462a77837,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
78,No,1,15,2,6230,$78 000-$103 999,2ea7338b-4bef-483d-b0b4-34c4004c7253,642d557d-e6b0-4808-a357-0aef26ee1a92,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
79,Yes,51,2,55,6514,Nil or Negative,79a53bea-46b7-4955-bc35-b8df57a1a6c9,e30bb3c6-fc35-472d-90eb-6d41c6c491a5,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
80,Yes,6,11,50,6211,$52 000-$77 999,db29adcd-3de0-462b-8154-ebff007ad71a,38985f73-348f-4739-a31c-7df2a647be22,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
81,Yes,41,7,60,6210,Nil or Negative,0c528ba4-06c1-43c4-a59d-b8782c746303,766a16c5-f83e-445c-b70b-508919288d15,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
82,Yes,20,2,60,6537,Nil or Negative,094e04bc-5583-4bf1-87bf-1ab23fe4f462,4f9ea316-8b9a-4f6f-a0fa-6ee04e9c4fd1,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
83,No,2,4,30,6071,,9b05cd5b-6333-4c14-a3de-c6fa82f78fcb,a48e85f5-87d3-4309-913b-ba0374c70bcd,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
84,No,2,80,30,6536,$78 000-$103 999,b0aee86c-d7ad-46f3-a866-5604d154f15d,cb4b47fe-99e6-4395-85e4-c9920c7dba2c,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
85,No,1,10,55,5355,Nil or Negative,962c41ef-755f-455d-8039-20858494c4ca,0bdaed35-74fc-4b8e-9286-373dbde477fa,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
86,No,5,5,50,6071,,700339d9-b2ff-4e8f-a4c6-16289f584782,6d3914cb-84a5-46c6-a298-a39f7180b36e,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
87,No,Plenty,100,35,6071,,87f29aef-4d9c-4ad6-ad1a-83a0f1f4518e,3b8e5e2e-883e-4c8b-ab77-112c2d3ba49f,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
88,No,40,4,30,Mandurah,,2f705e74-a156-428f-96cf-aec967ee1e0e,5a2987c5-4bf2-4ce5-959e-4ce2a757e672,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,8/7/2018 1:17:23 AM,Harrison.Carmody_UWA,,,,,,,,,,,,,,,,
