ID,InterviewDate,InterviewTime,Interviewer,Transect,Access,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,TimesInTwenty,TimesInNineteen,Covid,Meta.x,Meta.y,EXTRACTIVE SURVEY,ActivityDate,FishingType,BaitLure,TimeEnterWater,TimeOutWater,MaxDepth,KeptUndam,ReleasedUndam,DP,What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,What activity did you do?,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?_1,"If OTHER, why did you leave this site?_1",,Use.x,Use.y,DaysOfYrFishedBoat,DaysOfYrFishedShore,DaysOfYrNonEx,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",Male or Female,Describe party,Boat length,Boat Type,Boat name or number,Comments
11,9/28/2020,4:23:37,Nicole,CoralBay,CBBR,3,No,0,3,0,1,No,113.7668277,-23.15726358,NA,9/28/2020,Casting,Both,12:15,12:30,1,0,0,0,NA,NA,NA,NA,Snorkling,NA,11:00,NA,NA,Other,Out of sanctuary so they can fish and never been so wanted to try it out,NA,NA,,113.7668184,-23.15746703,,250,NA,25,0,OW,NA,NA,6701,CoralBay,NA,Male,1m1f2k,NA,NA,NA,NA
12,10/03/20,,Sam,Tantabiddi,Turquoise Bay 1,14,Yes,7,7,0,0,Yes,113.9787902,-21.91371097,NA,10/03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oyster stacks,Snorkling,NA,09:30,11:00,NA,Weather,NA,ActivityChange,NA,,113.8742042,-22.1417988,0,,NA,0,0,None,NA,1982,6525,YardieHomestead,NA,Female,8 families 21kids 12adults,NA,NA,NA,NA
13,9/27/2020,7:46:12,Gabby,CoralBay,CBBR,10,Yes,10,10,1,1,No,113.7681976,-23.1569764,NA,9/27/2020,Demersal,Bait,13:00,13:30,40,4,1,1,"Snapper, trout and a blowfish",BetterSite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.7884303,-23.1523516,20,,NA,30,0,None,NA,1967,6230,CoralBay,NA,Male,2m1f2k,NA,G,Youngbloods,NA
14,9/26/2020,9:15:56,Sam,Exmouth,ExBR,7,Yes,NA,NA,NA,NA,No,114.1386366,-21.95450382,NA,9/26/2020,Demersal,Bait,07:00,17:21,16,2,12,0,Perch,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1123,Ê-21.54938,10,,10,20,0,None,NA,1970,6100,NA,NA,Male,3m,6,F,NA,NA
15,9/26/2020,8:50:35,Nicole,Exmouth,ExBR,14,Yes,12,2,2,0,No,114.1395567,-21.95580158,NA,9/26/2020,Casting,Bait,15:00,16:00,5m,0,1,0,NA,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.2504367,-21.86003976,NA,,NA,0,0,None,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,Realeased a bronzy shark
16,9/30/2020,9:53:30,Sam,Bundegi,Wobiri,12,No,0,12,0,1,No,114.0318601,-21.84896492,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:20,18:15,NA,Surf,NA,ActivityChange,NA,,114.0309964,-21.84827775,NA,,NA,0,0,None,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA
17,9/26/2020,8:44:13,Nicole,Exmouth,ExBR,4,Yes,4,4,1,2,Yes,114.1389272,-21.95459621,NA,9/26/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WhaleWatch,NA,15:00,16:00,NA,Megafauna,NA,BetterSite,NA,,114.2257266,-21.95709801,15,,1,30,0,None,NA,1990,6018,Exmouth,NA,Female,4f1m,4,E,NA,NA
18,10/02/20,,Sam,Tantabiddi,SandyBay,10,Yes,1,10,1,1,No,113.8423628,-22.23257863,NA,10/01/20,Demersal,Bait,07:30,12:30,25,7,6,2,"Chinaman, red throat emperors, spangled, rock cod",ActivityChange,NA,NA,NA,NA,NA,NA,NA,Biodiveristy,NA,NA,NA,,114.6662644,-21.59721975,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,9/30/2020,9:42:21,Sam,Bundegi,Wobiri,11,No,0,11,1,0,No,114.0299578,-21.84934065,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,16:30,18:30,NA,Surf,NA,EndOfDay,NA,,114.0309915,-21.85007807,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,9/29/2020,8:54:05,Sam,Bundegi,BunBR,14,Yes,14,0,0,1,No,114.1701215,-21.83500061,NA,9/29/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1774871,-21.83837477,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,10/04/20,,Sam,Bundegi,LHeast,5,No,0,5,0,0,Yes,114.1243983,-21.80654304,NA,10/04/20,Casting,Bait,10:15,11:30,3,NA,NA,0,NA,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1245161,-21.80635418,3,,NA,43,0,OW,NA,1977,6069,NingalooLodge,NA,Male,2families with kids,NA,NA,NA,NA
22,10/01/20,,Nicole,Bundegi,BundegiBeach,12,No,0,12,0,0,No,114.1786329,-21.8259957,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,15:20,350still there,NA,Rec,NA,NA,NA,,114.178413,-21.82624112,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,10/02/20,,Gabby,Tantabiddi,OysterStacks,12,No,0,12,0,0,Yes,113.8793301,-22.12871047,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,10:30,NA,NA,NA,NA,NA,NA,,113.8798098,-22.12915485,NA,,NA,0,0,None,NA,1978,6054,Exmouth,NA,Female,1m1f2k,NA,NA,NA,NA
24,9/30/2020,9:42:21,Sam,Bundegi,Wobiri,11,No,0,11,1,0,No,114.0299578,-21.84934065,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Turquoise bay,Snorkling,NA,12:00,14:00,NA,Other,Familarity,ActivityChange,NA,,114.0314656,-21.84996549,1,,NA,0,35,OW,30,1970,6156,YardieHomestead,NA,Male,8,NA,NA,NA,NA
25,10/01/20,,Nicole,Bundegi,BundegiBeach,5,No,0,3,0,0,No,114.1795088,-21.82544094,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,13:00,15:30,NA,Other,Can bring dog and watch whales,EndOfDay,NA,,114.1793012,-21.82558662,NA,,NA,0,0,None,NA,1974,6054,Exmouth,NA,Female,2f,NA,NA,NA,NA
26,9/28/2020,4:15:41,Sam,CoralBay,Bills Bay,10,No,0,10,0,1,No,113.7697868,-23.14207984,NA,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,10:00,15:30,NA,Access,NA,EndOfDay,NA,,113.769354,-23.14219144,0,,NA,0,0,None,NA,1979,6009,NA,NA,Male,1m1f2k,NA,NA,NA,NA
27,10/01/20,,Nicole,Bundegi,BundegiBeach,10,No,0,10,0,0,No,114.1782631,-21.82625914,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RowSport,NA,11:00,16:00,NA,Other,Friends were going,EndOfDay,NA,,114.1782205,-21.8263112,240,,NA,53,0,None,NA,1967,6282,Lighthouse,NA,Male,1m1f2k,NA,NA,NA,NA
28,9/30/2020,7:34:34,Nicole,Bundegi,BunBR,14,Yes,5,0,1,1,No,114.1732973,-21.83078353,NA,9/30/2020,Demersal,Bait,14:00,15:30,60,1,0,4,Black snapper,Depredation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1502508,-21.75417897,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,9/26/2020,10:09:23,Gabby,Exmouth,ExBR,5,Yes,5,5,0,1,No,114.1383569,-21.95473273,NA,9/26/2020,Demersal,Bait,14:00,18:00,NA,5,2,0,"4 dog mackerel, 2 snapper; threw one shit fish back",End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.2390974,-21.88140294,52,,NA,44,0,None,NA,1976,Perth,Exmouth,NA,Female,2m2f5k,8,G,NA,"Did some trolling as well, nly interviewed about bottom bashing; Came up from perth not speecific about postcode.  "
30,10/02/20,,Sam,Tantabiddi,SandyBay,10,Yes,1,10,1,1,No,113.8423628,-22.23257863,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WindSport,NA,11:00,17:30,NA,Weather,NA,EndOfDay,NA,,113.8423858,-22.23219454,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiting
31,10/01/20,,Gabby,Bundegi,BunBR,9,Yes,9,9,0,1,No,114.170599,-21.83600581,NA,10/01/20,Squidding,NA,14:00,Now,NA,0,0,0,NA,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.2165994,-21.95889768,NA,,NA,30,0,None,NA,NA,NA,Lighthouse,NA,Male,1m1f1k,3,C,Ey166,NA
32,9/28/2020,2:58:16,Nicole,CoralBay,CBBR,14,No,0,14,0,2,No,113.7667622,-23.15744321,NA,9/28/2020,Casting,Lure,09:30,10:30,NA,NA,1,NA,NA,Weather,NA,NA,Relaxing,NA,NA,NA,NA,NA,NA,NA,NA,,113.45068,-23.10501,NA,,NA,0,0,None,NA,1983,6164,NA,NA,Female,2m2f,NA,NA,NA,NA
33,10/04/20,,Nicole,Tantabiddi,LakesideSnorkling,14,No,0,14,1,1,No,113.9123079,-22.03587675,NA,10/04/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Osyterstacks,Snorkling,NA,11:00,13:00,NA,Biodiveristy,NA,BetterSite,NA,,113.9083499,-22.05048273,NA,,NA,0,0,None,NA,1968,6153,YardieHomestead,NA,Female,1m1f1k,NA,NA,NA,NA
34,10/03/20,,Sam,Tantabiddi,Turquoise Bay 1,8,No,0,8,1,1,No,113.9216273,-22.02226868,NA,10/03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,16:00,17:05,NA,Biodiveristy,NA,EndOfDay,NA,,113.9216501,-22.02236044,NA,,52,0,5,OW,NA,1995,6163,YardieHomestead,NA,Female,1f,NA,NA,NA,NA
35,10/01/20,,Gabby,Bundegi,BunBR,10,Yes,4,10,0,0,No,114.1706816,-21.83565403,NA,10/01/20,Trolling,Lure,08:00,15:00,NA,0,0,0,NA,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,EndOfDay,NA,,114.1769868,-21.83225045,NA,,NA,0,0,None,NA,1970,6714,Lighthouse,NA,Male,1m1f3k,6,G,NA,Go out fishing opportunistically with friends - donÕt go fishing personally
36,9/30/2020,7:16:13,Sam,Bundegi,DunesBeach,90,No,0,90,1,0,Yes,114.146651,-21.79694362,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,10:00,16:00,NA,Surf,NA,EndOfDay,NA,,114.147157,-21.79662584,0,,5,1,0,None,NA,1992,Backpacker camping - no base,Lighthouse,NA,Male,1m1f,NA,NA,NA,NA
37,9/29/2020,8:37:59,Nicole,Bundegi,Wobiri,7,No,0,7,0,0,No,114.0682568,-21.82939322,NA,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,15:00,17:00,NA,Surf,NA,EndOfDay,NA,,114.1453513,-21.79557687,0,2,5,20,0,AOW,NA,1974,6015,YardieHomestead,NA,Male,1m1f5k,NA,NA,NA,Just started surfing 
38,10/01/20,,Sam,Tantabiddi,TantBR,14,Yes,5,9,1,1,Yes,113.9788654,-21.91286088,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,06:00,10:00,NA,Surf,NA,Weather,NA,,113.8505076,-21.83657705,5,,80,15,20,AOW,30,1991,6010,YardieHomestead,NA,Male,3m,4,A,NA,NA
39,9/30/2020,9:34:18,Sam,Bundegi,Wobiri,14,No,0,10,0,0,No,114.0292537,-21.84936487,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wobirri,Surfing,NA,16:30,18:30,NA,NaturalSurroundings,NA,EndOfDay,NA,,114.0320601,-21.84966586,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,9/28/2020,4:22:19,Gabby,CoralBay,Bills Bay,7,No,0,7,0,1,No,113.7681464,-23.14175413,NA,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,11:00,12:30,NA,Other,Fish-the snapper,NA,NA,,113.7687415,-23.14132087,0,,Too many to count,0,59,None,NA,1961,6000,CoralBay,NA,Male,1m1f1k,NA,NA,NA,NA
41,10/02/20,,Sam,Tantabiddi,SandyBay,10,No,0,10,1,1,No,113.8433239,-22.23030516,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WindSport,NA,13:00,15:00,NA,Weather,NA,NA,Tired,,113.81388,-22.31966695,5,,300,5,31,None,NA,1985,6164,YardieHomestead,NA,Male,1m1f,NA,NA,NA,Kiting
42,10/02/20,,Sam,Tantabiddi,SandyBay,10,No,0,10,0,0,No,113.8426164,-22.2325573,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,11:00,15:00,NA,Access,NA,ActivityChange,Shopping ,,113.8420631,-22.23195982,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,10/01/20,,Nicole,Bundegi,BundegiBeach,5,No,0,5,0,1,No,114.1792248,-21.82564785,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rockpooling,NA,13:30,14:30,NA,Other,New pace,ActivityChange,Went to get ice cream before shop shuts,,114.1660082,-21.78522222,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,10/02/20,,Sam,Tantabiddi,SandyBay,10,No,0,10,1,1,No,113.8433239,-22.23030516,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WindSport,NA,11:00,12:30,NA,Weather,NA,ActivityChange,NA,,113.8439912,-22.2308667,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiting
45,9/30/2020,3:43:43,Sam,Tantabiddi,SandyBay,10,No,0,10,0,0,Yes,113.842469,-22.23111698,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Turquoise bay,Snorkling,NA,13:00,15:00,NA,Biodiveristy,NA,NA,NA,,113.8442879,-22.23086341,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,9/27/2020,7:46:45,Sam,CoralBay,Bills Bay,14,No,2,10,0,1,No,113.7682277,-23.14260997,NA,9/27/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12:00,16:00,NA,Biodiveristy,NA,Weather,NA,,113.7683965,-23.14260292,NA,,NA,20,0,OW,26,1976,6153,BayView,NA,NA,NA,NA,NA,NA,NA
47,9/28/2020,4:35:34,Sam,CoralBay,Bills Bay,8,No,0,8,0,0,No,113.7691454,-23.14195026,NA,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,11:00,18:00,NA,Access,NA,EndOfDay,NA,,113.7698544,-23.14212645,10,,NA,40,0,None,NA,1968,6012,PeoplesPark,NA,Female,1m1f,NA,NA,NA,NA
48,9/30/2020,4:08:25,Gabby,Tantabiddi,TantBR,7,Yes,7,7,0,0,No,113.9782728,-21.91368002,NA,9/30/2020,Squidding,Lure,11:00,12:00,0,4,NA,NA,Squid,NA,Need shade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.9420672,-21.90029955,50,,NA,20,0,OW,20,1985,3143,Exmouth,NA,Male,2m2k,4,C,NA,NA
49,10/02/20,,Sam,Tantabiddi,SandyBay,10,No,0,10,0,0,No,113.8425374,-22.23242617,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Walking,NA,08:00,10:00,NA,Access,NA,ActivityChange,NA,,113.8422656,-22.23166602,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,9/30/2020,9:45:14,Nicole,Bundegi,BunBR,14,Yes,7,14,2,4,No,114.1732457,-21.83077452,NA,9/30/2020,Demersal,Both,10:00,17:00,240,2,0,3,"Cod, cobia",End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1790041,-21.06476065,10,,NA,15,0,None,NA,1985,6315,Exmouth,NA,NA,NA,NA,NA,NA,NA
51,10/01/20,,Sam,Tantabiddi,TantBR,11,Yes,6,5,0,2,No,113.9787144,-21.91261979,NA,10/01/20,Casting,Bait,07:00,09:00,12,2,1,1,Spangled emperor,ActivityChange,NA,NA,NA,NA,NA,NA,NA,Biodiveristy,NA,NA,NA,,113.9737741,-21.87281542,18,,NA,30,0,None,NA,1985,6071,YardieHomestead,NA,Male,3m,5,F,Trophy EJ747,NA
52,9/28/2020,3:23:32,Sam,CoralBay,MaudsLanding,10,No,0,10,0,0,No,113.769123,-23.14244268,NA,9/28/2020,Casting,Bait,11:15,14:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Fishing,NA,NA,,113.7701026,-23.14215313,0,,0,0,0,None,NA,1976,6028,BayView,NA,NA,NA,NA,NA,NA,NA
53,9/28/2020,3:14:25,Sam,CoralBay,MaudsLanding,7,No,1,7,0,0,No,113.7594662,-23.15743439,NA,9/28/2020,Casting,Lure,10:30,12:30,NA,0,NA,NA,NA,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.7684932,-23.15331666,0,,0,10,0,None,NA,1979,6151,PeoplesPark,NA,Female,3 families,NA,NA,NA,NA
54,9/28/2020,8:44:45,Sam,ExmouthS,LearmonthJetty,14,No,0,5,0,0,Yes,114.0994745,-22.21223314,NA,9/28/2020,Casting,Lure,16:00,17:30,NA,NA,1,0,Doesnt know but undersize,End of day,NA,NA,NA,NA,NA,NA,NA,Biodiveristy,Good for fish plus jetty,NA,NA,,114.1000228,-22.21195729,0,,0,0,0,None,NA,1981,6014,ExmouthEscape,NA,Male,Asian family,NA,NA,NA,Started fishing 2 months ago
55,9/30/2020,8:58:44,Gabby,Bundegi,Wobiri,12,No,0,12,0,0,Yes,114.0682813,-21.82933036,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,13:30,NA,NA,Other,Surf,EndOfDay,NA,,114.0677016,-21.82951872,0,,Too often to know,0,0,None,NA,1975,6163,MesaCamp,NA,Male,1m1f4k,NA,NA,NA,NA
56,9/30/2020,7:02:03,Nicole,Bundegi,BunBR,14,Yes,5,14,3,2,No,114.1733446,-21.83075365,NA,9/29/2020,Casting,Lure,15:00,18:00,6,0,2,0,Lizard fish and other little fish,End of day,NA,NA,WhaleWatch,Na,15:00,18:00,NA,Weather,NA,EndOfDay,NA,,114.1586674,-21.95619146,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Would of been somewhere else in July school holidays. Fish were too small to keep. Went to go fishing but hung around megafauna, Whale watching also saw dolphins and turtles. "
57,10/01/20,,Nicole,Tantabiddi,Turquoise Bay 1,14,No,0,14,1,3,No,113.8859618,-22.0984762,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,McLeod_„Žs,Other,Collecting sea glass,06:30,0.342361111,NA,Quiet,NA,Other,NA,,114.1345424,-21.9683343,0,40,NA,32,0,OW,NA,1988,6239,Exmouth,NA,Female,1f3k,NA,NA,NA,NA
59,10/02/20,,Sam,Tantabiddi,SandyBay,8,No,0,8,0,0,No,113.8425835,-22.23197806,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,09:00,09:45,NA,Access,NA,ActivityChange,NA,,113.840163,-22.23714192,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,9/30/2020,8:11:56,Nicole,Bundegi,BunBR,Resident,NA,NA,NA,NA,NA,NA,114.1732733,-21.8307708,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WindSport,NA,12:30,16:00,NA,Quiet,NA,EndOfDay,NA,,114.1673523,-21.78113473,25,,10,30,1,OW,100,1967,NA,NA,NA,Male,1m1f,2,H,NA,Wingfoiling by Jetski
61,9/30/2020,8:30:47,Sam,Bundegi,Janz,9,No,0,8,0,1,No,114.07174,-21.82749173,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,12:00,17:00,NA,Surf,NA,EndOfDay,NA,,114.0718333,-21.82720322,0,,100,0,20,OW,15,1985,6071,YardieHomestead,NA,Female,1m1f,NA,NA,NA,NA
62,10/03/20,,Nicole,Tantabiddi,Mesa,4,Yes,0,4,0,0,No,113.9268202,-22.00421931,NA,10/03/20,Casting,Bait,15:00,1700 still there,1,0,2,0,"Blue lines emp, cod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.927526,-22.004904,52,,NA,40,0,OW,NA,1976,6722,MantaResort,NA,Male,1m1f5k,NA,NA,NA,Never been here so exploring. Went from a drive down to Yardie creek and have worked there way up the coast. Couldnt go out on boat cause of wind. Stopped at turquoise for a swim at mid day
63,10/01/20,,Nicole,Tantabiddi,Turquoise Bay 1,4,No,0,4,0,0,No,113.885778,-22.09921381,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,07:30,08:30,NA,Access,NA,BetterSite,NA,,114.1391985,-21.94868731,0,,NA,0,0,OW,NA,1986,6107,Exmouth,NA,Female,1f4k,NA,NA,NA,Kid friendly site
